wallet,sequence,label
0x16e54b35d789832440ab47ae765e6a8098280676,<DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <TOKEN_TRANSFER> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <LIQUIDITY_EVENT> <VAL_WHALE> <DEPOSIT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_WHALE> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_WHALE> <TOKEN_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO>,1
0x8589427373d6d84e98730d7795d8f6f8731fda16,<OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_MED> <TOKEN_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0x35dd029618f4e1835008da21fd98850c776453f0,<DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_WHALE> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_MED> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0xcf8eaa87298b2091584deff0e344b16f70d2d209,<ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0xd88189f7dee6e5dbd6cbc6f06fd357f4bf7f330b,<TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEPOSIT> <VAL_WHALE> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_WHALE> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_WHALE> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0xe0e484dfa7f3aa36733a915d6f07eb5a57a74a11,<DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO>,1
0x30030383d959675ec884e7ec88f05ee0f186cc06,<ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED>,1
0x1c5dcdd006ea78a7e4783f9e6021c32935a10fb4,<DEX_SWAP> <VAL_WHALE> <DEX_SWAP> <VAL_WHALE> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0x6162759edad730152f0df8115c698a42e666157f,<ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO>,1
0xe2ca7390e76c5a992749bb622087310d2e63ca29,<TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO>,1
0x7a7ebe060943650c64c5a25311bb3f89cb31c384,<ETH_TRANSFER> <VAL_MED> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
0x6a1cf24c645db2e37141fa12e70cb67e56b336f3,<OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <LIQUIDITY_EVENT> <VAL_MED> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <LIQUIDITY_EVENT> <VAL_MED> <DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED> <TOKEN_APPROVE> <VAL_ZERO> <LIQUIDITY_EVENT> <VAL_MED> <ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <LIQUIDITY_EVENT> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <LIQUIDITY_EVENT> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEPOSIT> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO>,1
